date,total_rides
2019-04-14,58471
2019-04-15,45654
2019-04-16,63316
2019-04-17,65238
2019-04-18,61558
2019-04-19,64933
2019-04-20,36784
2019-04-21,51866
2019-04-22,44109
2019-04-23,75435
2019-04-24,77724
2019-04-25,60821
2019-04-26,37115
2019-04-27,56434
2019-04-28,41201
2019-04-29,60789
2019-04-30,62661
2019-05-01,60897
2019-05-02,68702
2019-05-03,62406
2019-05-04,56023
2019-05-05,16169
2019-05-06,69915
2019-05-07,72825
2019-05-08,76389
2019-05-09,66681
2019-05-10,68039
2019-05-11,69788
2019-05-12,10729
2019-05-13,22296
2019-05-14,42780
2019-05-15,74308
2019-05-16,77878
2019-05-17,72114
2019-05-18,73143
2019-05-19,69920
2019-05-20,74490
2019-05-21,79255
2019-05-22,82009
2019-05-23,56575
2019-05-24,74858
2019-05-25,59492
2019-05-26,49950
2019-05-27,66596
2019-05-28,59432
2019-05-29,55090
2019-05-30,52481
2019-05-31,83348
2019-06-01,76419
2019-06-02,67298
2019-06-03,77694
2019-06-04,83299
2019-06-05,78806
2019-06-06,81358
2019-06-07,82950
2019-06-08,78097
2019-06-09,73973
2019-06-10,37025
2019-06-11,78052
2019-06-12,85042
2019-06-13,49195
2019-06-14,80615
2019-06-15,73900
2019-06-16,55523
2019-06-17,72530
2019-06-18,36402
2019-06-19,63674
2019-06-20,59928
2019-06-21,65686
2019-06-22,76613
2019-06-23,75547
2019-06-24,80029
2019-06-25,65886
2019-06-26,83301
2019-06-27,81577
2019-06-28,78682
2019-06-29,62714
2019-06-30,63571
2019-07-01,78238
2019-07-02,78160
2019-07-03,74224
2019-07-04,52712
2019-07-05,58723
2019-07-06,50899
2019-07-07,61485
2019-07-08,68030
2019-07-09,83710
2019-07-10,84222
2019-07-11,54495
2019-07-12,81075
2019-07-13,76861
2019-07-14,67911
2019-07-15,81054
2019-07-16,84572
2019-07-17,69171
2019-07-18,61067
2019-07-19,75054
2019-07-20,50578
2019-07-21,48200
2019-07-22,52377
2019-07-23,66278
2019-07-24,87644
2019-07-25,86452
2019-07-26,82881
2019-07-27,72256
2019-07-28,67673
2019-07-29,78767
2019-07-30,80744
2019-07-31,65581
2019-08-01,87708
2019-08-02,82261
2019-08-03,77285
2019-08-04,66870
2019-08-05,82394
2019-08-06,82516
2019-08-07,52194
2019-08-08,79609
2019-08-09,80280
2019-08-10,82798
2019-08-11,73365
2019-08-12,81372
2019-08-13,75005
2019-08-14,75603
2019-08-15,84883
2019-08-16,81542
2019-08-17,78124
2019-08-18,56348
2019-08-19,73964
2019-08-20,82303
2019-08-21,73030
2019-08-22,73740
2019-08-23,63768
2019-08-24,74222
2019-08-25,71902
2019-08-26,79028
2019-08-27,82745
2019-08-28,65082
2019-08-29,83268
2019-08-30,76815
2019-08-31,64239
2019-09-01,62669
2019-09-02,37794
2019-09-03,83717
2019-09-04,84833
2019-09-05,89658
2019-09-06,55228
2019-09-07,78224
2019-09-08,72518
2019-09-09,84810
2019-09-10,87586
2019-09-11,90448
2019-09-12,70159
2019-09-13,87637
2019-09-14,75460
2019-09-15,78968
2019-09-16,82107
2019-09-17,93117
2019-09-18,90310
2019-09-19,89657
2019-09-20,90538
2019-09-21,98760
2019-09-22,76519
2019-09-23,85492
2019-09-24,93044
2019-09-25,94017
2019-09-26,84599
2019-09-27,93270
2019-09-28,81606
2019-09-29,75756
2019-09-30,76555
2019-10-01,87034
2019-10-02,79821
2019-10-03,39070
2019-10-04,83363
2019-10-05,69132
2019-10-06,60532
2019-10-07,77324
2019-10-08,80569
2019-10-09,50408
2019-10-10,84858
2019-10-11,79369
2019-10-12,70753
2019-10-13,67617
2019-10-14,77631
2019-10-15,83346
2019-10-16,44056
2019-10-17,67322
2019-10-18,73590
2019-10-19,66881
2019-10-20,28551
2019-10-21,78444
2019-10-22,54807
2019-10-23,80483
2019-10-24,83432
2019-10-25,81158
2019-10-26,68075
2019-10-27,26760
2019-10-28,76744
2019-10-29,53188
2019-10-30,68641
2019-10-31,49660
2019-11-01,70644
2019-11-02,58580
2019-11-03,52253
2019-11-04,70118
2019-11-05,73769
2019-11-06,72714
2019-11-07,56784
2019-11-08,50295
2019-11-09,37995
2019-11-10,42121
2019-11-11,64884
2019-11-12,39188
2019-11-13,43946
2019-11-14,54642
2019-11-15,59524
2019-11-16,36896
2019-11-17,32100
2019-11-18,35621
2019-11-19,57420
2019-11-20,57626
2019-11-21,62698
2019-11-22,51064
2019-11-23,40090
2019-11-24,18146
2019-11-25,58711
2019-11-26,63639
2019-11-27,51356
2019-11-28,16173
2019-11-29,23220
2019-11-30,26518
2019-12-01,10761
2019-12-02,18018
2019-12-03,39231
2019-12-04,47387
2019-12-05,49029
2019-12-06,51610
2019-12-07,34513
2019-12-08,32308
2019-12-09,15222
2019-12-10,42439
2019-12-11,38181
2019-12-12,45364
2019-12-13,32961
2019-12-14,30266
2019-12-15,33887
2019-12-16,41719
2019-12-17,19303
2019-12-18,37899
2019-12-19,29451
2019-12-20,34210
2019-12-21,24251
2019-12-22,23726
2019-12-23,37368
2019-12-24,25894
2019-12-25,13084
2019-12-26,25227
2019-12-27,31813
2019-12-28,28524
2019-12-29,17979
2019-12-30,12140
2019-12-31,31632
2020-01-01,18171
2020-01-02,41625
2020-01-03,31928
2020-01-04,29496
2020-01-05,27647
2020-01-06,42830
2020-01-07,46635
2020-01-08,42498
2020-01-09,39437
2020-01-10,50944
2020-01-11,56696
2020-01-12,53305
2020-01-13,49554
2020-01-14,44231
2020-01-15,54366
2020-01-16,45320
2020-01-17,34194
2020-01-18,13324
2020-01-19,25987
2020-01-20,24315
2020-01-21,37481
2020-01-22,43496
2020-01-23,48360
2020-01-24,51447
2020-01-25,17805
2020-01-26,36230
2020-01-27,46603
2020-01-28,48913
2020-01-29,47482
2020-01-30,45690
2020-01-31,47380
2020-02-01,35615
2020-02-02,28658
2020-02-03,53622
2020-02-04,52625
2020-02-05,50685
2020-02-06,32201
2020-02-07,32727
2020-02-08,32852
2020-02-09,32703
2020-02-10,26860
2020-02-11,37894
2020-02-12,49456
2020-02-13,37491
2020-02-14,37025
2020-02-15,21661
2020-02-16,27359
2020-02-17,41048
2020-02-18,44195
2020-02-19,49421
2020-02-20,42813
2020-02-21,38768
2020-02-22,39518
2020-02-23,46639
2020-02-24,56493
2020-02-25,39640
2020-02-26,45297
2020-02-27,43541
2020-02-28,43442
2020-02-29,29317
2020-03-01,31956
2020-03-02,57106
2020-03-03,49862
2020-03-04,58799
2020-03-05,58832
2020-03-06,34234
2020-03-07,39562
2020-03-08,47115
2020-03-09,68951
2020-03-10,64473
2020-03-11,61969
2020-03-12,51454
2020-03-13,43465
2020-03-14,44340
2020-03-15,36228
2020-03-16,29543
2020-03-17,24396
2020-03-18,30568
2020-03-19,20898
2020-03-20,31424
2020-03-21,31859
2020-03-22,19938
2020-03-23,4015
2020-03-24,20950
2020-03-25,12104
2020-03-26,22056
2020-03-27,26589
2020-03-28,8893
2020-03-29,9702
2020-03-30,15086
2020-03-31,15070
2020-04-01,20423
2020-04-02,19055
2020-04-03,11351
2020-04-04,28941
2020-04-05,25816
2020-04-06,24717
2020-04-07,23693
2020-04-08,20794
2020-04-09,14226
2020-04-10,16318
2020-04-11,33257
2020-04-12,31651
2020-04-13,7825
2020-04-14,25378
2020-04-15,22249
2020-04-16,19616
2020-04-17,18947
2020-04-18,15942
2020-04-19,47178
2020-04-20,21931
2020-04-21,17083
2020-04-22,23831
2020-04-23,19178
2020-04-24,12637
2020-04-25,59124
2020-04-26,9609
2020-04-27,17822
2020-04-28,39720
2020-04-29,21693
2020-04-30,14568
2020-05-01,25004
2020-05-02,73117
2020-05-03,63934
2020-05-04,32413
2020-05-05,35152
2020-05-06,17349
2020-05-07,43802
2020-05-08,17377
2020-05-09,27837
2020-05-10,54717
2020-05-11,22785
2020-05-12,36134
2020-05-13,40718
2020-05-14,41747
2020-05-15,53132
2020-05-16,80591
2020-05-17,63684
2020-05-18,39227
2020-05-19,41022
2020-05-20,45678
2020-05-21,48665
2020-05-22,47563
2020-05-23,23078
2020-05-24,73092
2020-05-25,68096
2020-05-26,53169
2020-05-27,55202
2020-05-28,46278
2020-05-29,53494
2020-05-30,87347
2020-05-31,80931
2020-06-01,53064
2020-06-02,46602
2020-06-03,28867
2020-06-04,39755
2020-06-05,33128
2020-06-06,56434
2020-06-07,80625
2020-06-08,60988
2020-06-09,61935
2020-06-10,63434
2020-06-11,44062
2020-06-12,72802
2020-06-13,90005
2020-06-14,80066
2020-06-15,57757
2020-06-16,65524
2020-06-17,64192
2020-06-18,62337
2020-06-19,79500
2020-06-20,81069
2020-06-21,72414
2020-06-22,59986
2020-06-23,67596
2020-06-24,66982
2020-06-25,69727
2020-06-26,73879
2020-06-27,59403
2020-06-28,69368
2020-06-29,61778
2020-06-30,65283
2020-07-01,63572
2020-07-02,73649
2020-07-03,59508
2020-07-04,71210
2020-07-05,64790
2020-07-06,46138
2020-07-07,67981
2020-07-08,63522
2020-07-09,76608
2020-07-10,22833
2020-07-11,66784
2020-07-12,84586
2020-07-13,69280
2020-07-14,77266
2020-07-15,78546
2020-07-16,79471
2020-07-17,70029
2020-07-18,80716
2020-07-19,67020
2020-07-20,58446
2020-07-21,70812
2020-07-22,52176
2020-07-23,65841
2020-07-24,67015
2020-07-25,87943
2020-07-26,73040
2020-07-27,62645
2020-07-28,70558
2020-07-29,77240
2020-07-30,72282
2020-07-31,70979
2020-08-01,89245
2020-08-02,70287
2020-08-03,67352
2020-08-04,44678
2020-08-05,82007
2020-08-06,79272
2020-08-07,60114
2020-08-08,90467
2020-08-09,83077
2020-08-10,69297
2020-08-11,75546
2020-08-12,66320
2020-08-13,62581
2020-08-14,83952
2020-08-15,92974
2020-08-16,38798
2020-08-17,70533
2020-08-18,82014
2020-08-19,71588
2020-08-20,81419
2020-08-21,85000
2020-08-22,87303
2020-08-23,82154
2020-08-24,71353
2020-08-25,72275
2020-08-26,88293
2020-08-27,69525
2020-08-28,78347
2020-08-29,71469
2020-08-30,92665
2020-08-31,75854
2020-09-01,76849
2020-09-02,70239
2020-09-03,71519
2020-09-04,85644
2020-09-05,89900
2020-09-06,83232
2020-09-07,84085
2020-09-08,79441
2020-09-09,84702
2020-09-10,53130
2020-09-11,94925
2020-09-12,101756
2020-09-13,84877
2020-09-14,79542
2020-09-15,84316
2020-09-16,87214
2020-09-17,87808
2020-09-18,89260
2020-09-19,90235
2020-09-20,77922
2020-09-21,72247
2020-09-22,83061
2020-09-23,90787
2020-09-24,87169
2020-09-25,94057
2020-09-26,99587
2020-09-27,87677
2020-09-28,78278
2020-09-29,59957
2020-09-30,86001
2020-10-01,89975
2020-10-02,81168
2020-10-03,95847
2020-10-04,80891
2020-10-05,75950
2020-10-06,85978
2020-10-07,81484
2020-10-08,84191
2020-10-09,87865
2020-10-10,94222
2020-10-11,75671
2020-10-12,16442
2020-10-13,52013
2020-10-14,88645
2020-10-15,91571
2020-10-16,30809
2020-10-17,88634
2020-10-18,77114
2020-10-19,73498
2020-10-20,76374
2020-10-21,84342
2020-10-22,84041
2020-10-23,87151
2020-10-24,90943
2020-10-25,62030
2020-10-26,51248
2020-10-27,78196
2020-10-28,63003
2020-10-29,19148
2020-10-30,39669
2020-10-31,67086
2020-11-01,33562
2020-11-02,50729
2020-11-03,62270
2020-11-04,65369
2020-11-05,74955
2020-11-06,82332
2020-11-07,98729
2020-11-08,86397
2020-11-09,75915
2020-11-10,84503
2020-11-11,46341
2020-11-12,40778
2020-11-13,48823
2020-11-14,75420
2020-11-15,51158
2020-11-16,57691
2020-11-17,54558
2020-11-18,44154
2020-11-19,51509
2020-11-20,68644
2020-11-21,75418
2020-11-22,46098
2020-11-23,42742
2020-11-24,53308
2020-11-25,57016
2020-11-26,30768
2020-11-27,53222
2020-11-28,53361
2020-11-29,52718
2020-11-30,23330
2020-12-01,53240
2020-12-02,47440
2020-12-03,53258
2020-12-04,40707
2020-12-05,31918
2020-12-06,40883
2020-12-07,41678
2020-12-08,41158
2020-12-09,37150
2020-12-10,51962
2020-12-11,60053
2020-12-12,53582
2020-12-13,61278
2020-12-14,25834
2020-12-15,44891
2020-12-16,26387
2020-12-17,180
2020-12-18,15058
2020-12-19,16791
2020-12-20,16380
2020-12-21,31502
2020-12-22,37376
2020-12-23,40551
2020-12-24,32708
2020-12-25,11897
2020-12-26,19982
2020-12-27,23877
2020-12-28,38927
2020-12-29,33330
2020-12-30,35830
2020-12-31,26442
2021-01-01,18853
2021-01-02,41328
2021-01-03,14609
2021-01-04,36864
2021-01-05,38638
2021-01-06,38013
2021-01-07,38044
2021-01-08,37266
2021-01-09,34715
2021-01-10,35456
2021-01-11,36163
2021-01-12,42409
2021-01-13,42570
2021-01-14,47961
2021-01-15,40561
2021-01-16,41277
2021-01-17,38990
2021-01-18,42835
2021-01-19,40649
2021-01-20,36312
2021-01-21,40971
2021-01-22,44118
2021-01-23,32207
2021-01-24,27450
2021-01-25,36117
2021-01-26,27461
2021-01-27,39042
2021-01-28,34200
2021-01-29,23664
2021-01-30,27450
2021-01-31,21782
2021-02-01,241
2021-02-03,6392
2021-02-04,18473
2021-02-05,23962
2021-02-06,30668
2021-02-07,8146
2021-02-08,18068
2021-02-09,22016
2021-02-10,27886
2021-02-11,22461
2021-02-12,25409
2021-02-13,22631
2021-02-14,22977
2021-02-15,22989
2021-02-16,30322
2021-02-17,30177
2021-02-18,7493
2021-02-19,11815
2021-02-20,24519
2021-02-21,25861
2021-02-22,19127
2021-02-23,32747
2021-02-24,45127
2021-02-25,42619
2021-02-26,43605
2021-02-27,30168
2021-02-28,20860
2021-03-01,33796
2021-03-02,31361
2021-03-03,49059
2021-03-04,39403
2021-03-05,35606
2021-03-06,32745
2021-03-07,34620
2021-03-08,37699
2021-03-09,59011
2021-03-10,53717
2021-03-11,67001
2021-03-12,68087
2021-03-13,52491
2021-03-14,42701
2021-03-15,33654
2021-03-16,37207
2021-03-17,46474
2021-03-18,22081
2021-03-19,42782
2021-03-20,63751
2021-03-21,67574
2021-03-22,55152
2021-03-23,60481
2021-03-24,32136
2021-03-25,63448
2021-03-26,70151
2021-03-27,83056
2021-03-28,24719
2021-03-29,51440
2021-03-30,64189
2021-03-31,44443
2021-04-01,44584
2021-04-02,41839
2021-04-03,59957
2021-04-04,62065
2021-04-05,66685
2021-04-06,74740
2021-04-07,76355
2021-04-08,79962
2021-04-09,66930
2021-04-10,85961
2021-04-11,19740
2021-04-12,32894
2021-04-13,77038
2021-04-14,78486
2021-04-15,32416
2021-04-16,58174
2021-04-17,76009
2021-04-18,79148
2021-04-19,71563
2021-04-20,94112
2021-04-21,60480
2021-04-22,55880
2021-04-23,81095
2021-04-24,102035
2021-04-25,57213
2021-04-26,70166
2021-04-27,78068
2021-04-28,94511
2021-04-29,69137
2021-04-30,79010
2021-05-01,90938
2021-05-02,92097
2021-05-03,59585
2021-05-04,85188
2021-05-05,48723
2021-05-06,91450
2021-05-07,89441
2021-05-08,58543
2021-05-09,52231
2021-05-10,69713
2021-05-11,87329
2021-05-12,92970
2021-05-13,98807
2021-05-14,105387
2021-05-15,116722
2021-05-16,95318
2021-05-17,93392
2021-05-18,103917
2021-05-19,107801
2021-05-20,106161
2021-05-21,110718
2021-05-22,114376
2021-05-23,105311
2021-05-24,87516
2021-05-25,104871
2021-05-26,95984
2021-05-27,110364
2021-05-28,61524
2021-05-29,29320
2021-05-30,17301
2021-05-31,87198
2021-06-01,97499
2021-06-02,104458
2021-06-03,68556
2021-06-04,84810
2021-06-05,118830
2021-06-06,103958
2021-06-07,96161
2021-06-08,73315
2021-06-09,109923
2021-06-10,118861
2021-06-11,105953
2021-06-12,114680
2021-06-13,100470
2021-06-14,82673
2021-06-15,116790
2021-06-16,119841
2021-06-17,119097
2021-06-18,120888
2021-06-19,105395
2021-06-20,105539
2021-06-21,99946
2021-06-22,74156
2021-06-23,120897
2021-06-24,118454
2021-06-25,114431
2021-06-26,116784
2021-06-27,108008
2021-06-28,96794
2021-06-29,101368
2021-06-30,94870
2021-07-01,66593
2021-07-02,76527
2021-07-03,66833
2021-07-04,99390
2021-07-05,95815
2021-07-06,75832
2021-07-07,100924
2021-07-08,73526
2021-07-09,84567
2021-07-10,107192
2021-07-11,101400
2021-07-12,86168
2021-07-13,103356
2021-07-14,108264
2021-07-15,110189
2021-07-16,106098
2021-07-17,80605
2021-07-18,97820
2021-07-19,100575
2021-07-20,109422
2021-07-21,106522
2021-07-22,116020
2021-07-23,110258
2021-07-24,122729
2021-07-25,96144
2021-07-26,96799
2021-07-27,104088
2021-07-28,110441
2021-07-29,74707
2021-07-30,113532
2021-07-31,119518
2021-08-01,92758
2021-08-02,101256
2021-08-03,106941
2021-08-04,107251
2021-08-05,107390
2021-08-06,107416
2021-08-07,113136
2021-08-08,73974
2021-08-09,94643
2021-08-10,90881
2021-08-11,96184
2021-08-12,97894
2021-08-13,97015
2021-08-14,109557
2021-08-15,106329
2021-08-16,100238
2021-08-17,105364
2021-08-18,104572
2021-08-19,102919
2021-08-20,99845
2021-08-21,94626
2021-08-22,15466
2021-08-23,74957
2021-08-24,107065
2021-08-25,104701
2021-08-26,101707
2021-08-27,86858
2021-08-28,102216
2021-08-29,100391
2021-08-30,99082
2021-08-31,109917
2021-09-01,49758
2021-09-02,123935
2021-09-03,112840
2021-09-04,107150
2021-09-05,85730
2021-09-06,104270
2021-09-07,104972
2021-09-08,111066
2021-09-09,76186
2021-09-10,124205
2021-09-11,131085
2021-09-12,114992
2021-09-13,104091
2021-09-14,116425
2021-09-15,116304
2021-09-16,107530
2021-09-17,110024
2021-09-18,122392
2021-09-19,114278
2021-09-20,107102
2021-09-21,111253
2021-09-22,111466
2021-09-23,85062
2021-09-24,113819
2021-09-25,122999
2021-09-26,111316
2021-09-27,104803
2021-09-28,94856
2021-09-29,109270
2021-09-30,110639
2021-10-01,113653
2021-10-02,117995
2021-10-03,106361
2021-10-04,72165
2021-10-05,102021
2021-10-06,108685
2021-10-07,113291
2021-10-08,113674
2021-10-09,105945
2021-10-10,67916
2021-10-11,95100
2021-10-12,106156
2021-10-13,107830
2021-10-14,114136
2021-10-15,116244
2021-10-16,97206
2021-10-17,89113
2021-10-18,85563
2021-10-19,98234
2021-10-20,110000
2021-10-21,111572
2021-10-22,109531
2021-10-23,89600
2021-10-24,83308
2021-10-25,90741
2021-10-26,47068
2021-10-27,96028
2021-10-28,98934
2021-10-29,81155
2021-10-30,77672
2021-10-31,84007
2021-11-01,87934
2021-11-02,81137
2021-11-03,85579
2021-11-04,84072
2021-11-05,84544
2021-11-06,82923
2021-11-07,77676
2021-11-08,83258
2021-11-09,94717
2021-11-10,96390
2021-11-11,90991
2021-11-12,68553
2021-11-13,69765
2021-11-14,61696
2021-11-15,66867
2021-11-16,75628
2021-11-17,83878
2021-11-18,92866
2021-11-19,72517
2021-11-20,68018
2021-11-21,63828
2021-11-22,62344
2021-11-23,59776
2021-11-24,56131
2021-11-25,34144
2021-11-26,31132
2021-11-27,36373
2021-11-28,40463
2021-11-29,57236
2021-11-30,62712
2021-12-01,72421
2021-12-02,77646
2021-12-03,71020
2021-12-04,66683
2021-12-05,61065
2021-12-06,66300
2021-12-07,65615
2021-12-08,64432
2021-12-09,64920
2021-12-10,73816
2021-12-11,62674
2021-12-12,60544
2021-12-13,66731
2021-12-14,73871
2021-12-15,71420
2021-12-16,78650
2021-12-17,76258
2021-12-18,38510
2021-12-19,39282
2021-12-20,44327
2021-12-21,49698
2021-12-22,40864
2021-12-23,40306
2021-12-24,30555
2021-12-25,15892
2021-12-26,30882
2021-12-27,30741
2021-12-28,39773
2021-12-29,38652
2021-12-30,45779
2021-12-31,47530
2022-01-01,20428
2022-01-02,43009
2022-01-03,33189
2022-01-04,36842
2022-01-05,34230
2022-01-06,44787
2022-01-07,17401
2022-01-08,24455
2022-01-09,21479
2022-01-10,34727
2022-01-11,26824
2022-01-12,40568
2022-01-13,50572
2022-01-14,45714
2022-01-15,22839
2022-01-16,20930
2022-01-17,29084
2022-01-18,42935
2022-01-19,54011
2022-01-20,33928
2022-01-21,33598
2022-01-22,31969
2022-01-23,32967
2022-01-24,41488
2022-01-25,50692
2022-01-26,42005
2022-01-27,43830
2022-01-28,34871
2022-01-29,2848
2022-01-30,9486
2022-01-31,22349
2022-02-01,29338
2022-02-02,41947
2022-02-03,26568
2022-02-04,20309
2022-02-05,29638
2022-02-06,28887
2022-02-07,30717
2022-02-08,51893
2022-02-09,56007
2022-02-10,61937
2022-02-11,64614
2022-02-12,68575
2022-02-13,20384
2022-02-14,34198
2022-02-15,40550
2022-02-16,53683
2022-02-17,67432
2022-02-18,47038
2022-02-19,32450
2022-02-20,31051
2022-02-21,52366
2022-02-22,36459
2022-02-23,66325
2022-02-24,44725
2022-02-25,30412
2022-02-26,41415
2022-02-27,42805
2022-02-28,45636
2022-03-01,56019
2022-03-02,67108
2022-03-03,55408
2022-03-04,49704
2022-03-05,51358
2022-03-06,54531
2022-03-07,67882
2022-03-08,62178
2022-03-09,28088
2022-03-10,66071
2022-03-11,69316
2022-03-12,19628
2022-03-13,30833
2022-03-14,63206
2022-03-15,78946
2022-03-16,81449
2022-03-17,50004
2022-03-18,92837
2022-03-19,77861
2022-03-20,65417
2022-03-21,73209
2022-03-22,75235
2022-03-23,60865
2022-03-24,45793
2022-03-25,74873
2022-03-26,62151
2022-03-27,45625
2022-03-28,38135
2022-03-29,48426
2022-03-30,61254
2022-03-31,72625
2022-04-01,68479
2022-04-02,73254
2022-04-03,37164
2022-04-04,68902
2022-04-05,72629
2022-04-06,48443
2022-04-07,35322
2022-04-08,88195
2022-04-09,67329
2022-04-10,57144
2022-04-11,75355
2022-04-12,93575
2022-04-13,98764
2022-04-14,90635
2022-04-15,99636
2022-04-16,82188
2022-04-17,54110
2022-04-18,55811
2022-04-19,58873
2022-04-20,85294
2022-04-21,77520
2022-04-22,97494
2022-04-23,94585
2022-04-24,83406
2022-04-25,72682
2022-04-26,74947
2022-04-27,82446
2022-04-28,78531
2022-04-29,87089
2022-04-30,101537
2022-05-01,94657
2022-05-02,54536
2022-05-03,92564
2022-05-04,79594
2022-05-05,110355
2022-05-06,35170
2022-05-07,20557
2022-05-08,62745
2022-05-09,93995
2022-05-10,104600
2022-05-11,107079
2022-05-12,110862
2022-05-13,95861
2022-05-14,79812
2022-05-15,108477
2022-05-16,79295
2022-05-17,117412
2022-05-18,117596
2022-05-19,90207
2022-05-20,85189
2022-05-21,115215
2022-05-22,103604
2022-05-23,101563
2022-05-24,104949
2022-05-25,114182
2022-05-26,111106
2022-05-27,89185
2022-05-28,82607
2022-05-29,101235
2022-05-30,100732
2022-05-31,100360
2022-06-01,88070
2022-06-02,98712
2022-06-03,120876
2022-06-04,127507
2022-06-05,115902
2022-06-06,110255
2022-06-07,103639
2022-06-08,123906
2022-06-09,115009
2022-06-10,122508
2022-06-11,115603
2022-06-12,90287
2022-06-13,111525
2022-06-14,123640
2022-06-15,127915
2022-06-16,102031
2022-06-17,119656
2022-06-18,108577
2022-06-19,105636
2022-06-20,114193
2022-06-21,99400
2022-06-22,94428
2022-06-23,117321
2022-06-24,124257
2022-06-25,118493
2022-06-26,106089
2022-06-27,79616
2022-06-28,121346
2022-06-29,121539
2022-06-30,116209
2022-07-01,103432
2022-07-02,88943
2022-07-03,89364
2022-07-04,94692
2022-07-05,88946
2022-07-06,112874
2022-07-07,114752
2022-07-08,98312
2022-07-09,123237
2022-07-10,115594
2022-07-11,111362
2022-07-12,111767
2022-07-13,120853
2022-07-14,120450
2022-07-15,119355
2022-07-16,111650
2022-07-17,111004
2022-07-18,83439
2022-07-19,119752
2022-07-20,117760
2022-07-21,109101
2022-07-22,111786
2022-07-23,107728
2022-07-24,99639
2022-07-25,96351
2022-07-26,122455
2022-07-27,125081
2022-07-28,117505
2022-07-29,114611
2022-07-30,123256
2022-07-31,112671
2022-08-01,98167
2022-08-02,120945
2022-08-03,124946
2022-08-04,118082
2022-08-05,114401
2022-08-06,123062
2022-08-07,95005
2022-08-08,104188
2022-08-09,109152
2022-08-10,123692
2022-08-11,114225
2022-08-12,122804
2022-08-13,132252
2022-08-14,111858
2022-08-15,111846
2022-08-16,122538
2022-08-17,120504
2022-08-18,121945
2022-08-19,120752
2022-08-20,128688
2022-08-21,110432
2022-08-22,85908
2022-08-23,118449
2022-08-24,122883
2022-08-25,120158
2022-08-26,108773
2022-08-27,117835
2022-08-28,107815
2022-08-29,108140
2022-08-30,113460
2022-08-31,123277
2022-09-01,121537
2022-09-02,116500
2022-09-03,107735
2022-09-04,99471
2022-09-05,93932
2022-09-06,40735
2022-09-07,112912
2022-09-08,134611
2022-09-09,133707
2022-09-10,134650
2022-09-11,67771
2022-09-12,115155
2022-09-13,122436
2022-09-14,135072
2022-09-15,132381
2022-09-16,131682
2022-09-17,130502
2022-09-18,116749
2022-09-19,102898
2022-09-20,130001
2022-09-21,133613
2022-09-22,102216
2022-09-23,113272
2022-09-24,113146
2022-09-25,86810
2022-09-26,105459
2022-09-27,116586
2022-09-28,123677
2022-09-29,121411
2022-09-30,115282
2022-10-01,59778
2022-10-02,51635
2022-10-03,49566
2022-10-04,51994
2022-10-05,69309
2022-10-06,123901
2022-10-07,123619
2022-10-08,100747
2022-10-09,93815
2022-10-10,96125
2022-10-11,112059
2022-10-12,118695
2022-10-13,73732
2022-10-14,114921
2022-10-15,118062
2022-10-16,101163
2022-10-17,88784
2022-10-18,101005
2022-10-19,99852
2022-10-20,104413
2022-10-21,108664
2022-10-22,111348
2022-10-23,66604
2022-10-24,66311
2022-10-25,98171
2022-10-26,112685
2022-10-27,115653
2022-10-28,106226
2022-10-29,105008
2022-10-30,95656
